time (sec),SN8 ,SN17 ,SN18 ,SN80 ,SN93 ,SN99 ,SN100 ,SN105 ,SN107 
7.96E-05,0,0,0,0,0,0,0,0,0
0.000167116,0,0,0,0,0,0,0,0,0
0.000263407,0,0,0,0,0,0,0,0,0
0.000369327,0,0,0,0,0,0,0,0,0
0.000485839,0,0,0,0,0,0,0,0,0
0.000614002,0,0,0,0,0,0,0,0,0
0.000754982,0,0,0,0,0,0,0,0,0
0.000910059,0,0,0,0,0,0,0,0,0
0.00108064,0,0,0,0,0,0,0,0,0
0.00126829,0,0,0,0,0,0,0,0,0
0.0014747,0,0,0,0,0,0,0,0,0
0.00170174,0,0,0,0,0,0,0,0,0
0.0019515,0,0,0,0,0,0,0,0,0
0.00222623,0,0,0,0,0,0,0,0,0
0.00252843,0,0,0,0,0,0,0,0,0
0.00286085,0,0,0,0,0,0,0,0,0
0.00322651,0,0,0,0,0,0,0,0,0
0.00362875,0,0,0,0,0,0,0,0,0
0.0040712,0,0,0,0,0,0,0,0,0
0.0045579,0,0,0,0,0,0,0,0,0
0.00509327,0,0,0,0,0,0,0,0,0
0.00568217,0,0,0,0,0,0,0,0,0
0.00632997,0,0,0,0,0,0,0,0,0
0.00704255,0,0,0,0,0,0,0,0,0
0.00782638,0,0,0,0,0,0,0,0,0
0.0086886,0,0,0,0,0,0,0,0,0
0.00963704,0,0,0,0,0,0,0,0,0
0.0106803,0,0,0,0,0,0,0,0,0
0.0118279,0,0,0,0,0,0,0,0,0
0.0130903,0,0,0,0,0,0,0,0,0
0.0144789,0,0,0,0,0,0,0,0,0
0.0160064,0,0,0,0,0,0,0,0,0
0.0176866,0,0,0,0,0,0,0,0,0
0.0195348,0,0,0,0,0,0,0,0,0
0.0215679,0,0,0,0,0,0,0,0,0
0.0238043,0,0,0,0,0,0,0,0,0
0.0262643,0,0,0,0,0,0,0,0,0
0.0289703,0,0,0,0,0,0,0,0,0
0.0319469,0,0,0,0,0,0,0,0,0
0.0352212,0,0,0,0,0,0,0,0,0
0.0388229,0,0,0,0,0,0,0,0,0
0.0427847,0,0,0,0,0,0,0,0,0
0.0471428,0,0,0,0,0,0,0,0,0
0.0515008,0,0,0,0,0,0,0,0,0
0.0558589,0,0,0,0,0,0,0,0,0
0.0611783,0,0,0,0,0,0,0,0,0
0.0647833,0,0,0,0,0,0,0,0,0
0.0675725,0,0,0,0,0,0,0,0,0
0.0698038,0,0,0,0,0,0,0,0,0
0.0720351,0,0,0,0,0,0,0,0,0
0.0738202,0,0,0,0,0,0,0,0,0
0.0756052,0,0,0,0,0,0,0,0,0
0.0773903,0,0,0,0,0,0,0,0,0
0.0791754,0,0,0,0,0,0,0,0,0
0.0800679,0,0,0,0,0,0,0,0,0
0.0818529,0,0,0,0,0,0,0,0,0
0.0827455,0,0,0,0,0,0,0,0,0
0.0840843,0,0,0,0,0,0,0,0,0
0.0849768,0,0,0,0,0,0,0,0,0
0.0863156,0,0,0,0,0,0,0,0,0
0.0872081,0,0,0,0,0,0,0,0,0
0.0889932,0,0,0,0,0,0,0,0,0
0.0898857,0,0,0,0,0,0,0,0,0
0.0916708,0,0,0,0,0,0,0,0,0
0.0934558,0,0,0,0,0,0,0,0,0
0.0952409,0,0,0,0,0,0,0,0,0
0.0970259,0,0,0,0,0,0,0,0,0
0.098811,0,0,0,0,0,0,0,0,0
0.100596,0,0,0,0,0,0,0,0,0
0.102381,0,0,0,0,0,0,0,0,0
0.104166,0,0,0,0,0,0,0,0,0
0.105951,0,0,0,0,0,0,0,0,0
0.107736,0,0,0,0,0,0,0,0,0
0.109521,0,0,0,0,0,0,0,0,0
0.111306,0,0,0,0,0,0,0,0,0
0.113091,0,0,0,0,0,0,0,0,0
0.114877,0,0,0,0,0,0,0,0,0
0.116662,0,0,0,0,0,0,0,0,0
0.118447,0,0,0,0,0,0,0,0,0
0.120232,0,0,0,0,0,0,0,0,0
0.122017,0,0,0,0,0,0,0,0,0
0.123802,0,0,0,0,0,0,0,0,0
0.125141,0,0,0,0,0,0,0,0,0
0.126926,0,0,0,0,0,0,0,0,0
0.128711,0,0,0,0,0,0,0,0,0
0.130496,0,0,0,0,0,0,0,0,0
0.132281,0,0,0,0,0,0,0,0,0
0.134066,0,0,0,0,0,0,0,0,0
0.135851,0,0,0,0,0,0,0,0,0
0.137636,0,0,0,0,0,0,0,0,0
