time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
5.71E-05,0,0.0956296,68,0.00667375,0.0455904
0.000119811,0,0.0956296,68,0.00665253,0.0480949
0.000188845,0,0.0956296,68,0.00660927,0.0508494
0.000264782,0,0.0956296,68,0.00658105,0.0538789
0.000348313,0,0.0956296,68,0.00655998,0.0572109
0.000440197,0,0.0956296,68,0.0065513,0.0608754
0.00054127,0,0.0956296,68,0.00656664,0.0649056
0.000652449,0,0.0956296,68,0.00661313,0.0693379
0.000774747,0,0.0956296,68,0.00670121,0.0742122
0.000909275,0,0.0956296,67.9999,0.00684256,0.0795726
0.00105725,0,0.0956296,67.9999,0.0070453,0.0854674
0.00122003,0,0.0956296,67.9999,0.00732737,0.0919497
0.00139909,0,0.0956296,67.9999,0.00770436,0.0990777
0.00159605,0,0.0956296,67.9999,0.0081922,0.106916
0.00181271,0,0.0956296,67.9999,0.00882472,0.115534
0.00205103,0,0.0956296,67.9998,0.00961106,0.125009
0.00231319,0,0.0956296,67.9998,0.010564,0.135427
0.00260156,0,0.0956296,67.9998,0.0115917,0.146881
0.00291877,0,0.0956296,67.9997,0.0127288,0.159472
0.0032677,0,0.0956296,67.9997,0.0140806,0.173313
0.00365152,0,0.0956296,67.9996,0.0156224,0.188527
0.00407373,0,0.0956296,67.9995,0.0173512,0.205249
0.00453815,0,0.0956296,67.9994,0.0193581,0.223627
0.00504902,0,0.0956296,67.9993,0.0217314,0.243823
0.00561097,0,0.0956296,67.9992,0.0245351,0.266232
0.00622913,0,0.0956296,67.999,0.0280159,0.293592
0.00690909,0,0.0956296,67.9988,0.0323973,0.326951
0.00765705,0,0.0956296,67.9986,0.0378374,0.367575
0.00847981,0,0.0956296,67.9983,0.044634,0.416987
0.00938485,0,0.0956296,67.9979,0.0537804,0.477011
0.0103804,0,0.0956296,67.9974,0.0655706,0.549837
0.0114755,0,0.0956296,67.9968,0.0806256,0.638078
0.0126801,0,0.0956296,67.996,0.0981313,0.744844
0.0140051,0,0.0956296,67.995,0.116455,0.873824
0.0154627,0,0.0956296,67.9938,0.141806,1.02937
0.017066,0,0.0956296,67.9921,0.176178,1.21657
0.0188297,0,0.0956296,67.99,0.221069,1.44137
0.0207697,0,0.0956296,67.9872,0.278837,1.7106
0.0229037,0,0.0956296,67.9835,0.353036,2.03202
0.0252511,0,0.0956296,67.9788,0.448301,2.41436
0.0278333,0,0.0956296,67.9725,0.570383,2.86714
0.0306737,0,0.0956296,67.9644,0.726241,3.40053
0.0337981,0,0.0956296,67.9538,0.924133,4.02495
0.037235,0,0.0956296,67.9399,1.17366,4.75039
0.0410155,0,0.0956296,67.922,1.48359,5.58556
0.0451741,0,0.0956296,67.8987,1.86427,6.53653
0.0497486,0,0.0956296,67.8688,2.32534,7.60508
0.0547805,0,0.0956296,67.8306,2.87403,8.78665
0.0598124,0,0.0956296,67.7864,3.43708,9.86073
0.0655153,0,0.0956296,67.7301,4.07449,10.9543
0.0702444,0,0.0956296,67.6783,4.56722,11.771
0.0742239,0,0.0956296,67.6315,4.93614,12.4008
0.0768002,0,0.0956296,67.5995,5.13741,12.7825
0.0788613,0,0.0956296,67.5732,5.27005,13.074
0.0798918,0,0.0956296,67.5597,5.32144,13.2153
0.0819529,0,0.0956296,67.5325,5.40923,13.4894
0.0827773,0,0.0956296,67.5213,5.43603,13.5959
0.0844262,0,0.0956296,67.4989,5.48566,13.8036
0.0852506,0,0.0956296,67.4876,5.50865,13.905
0.086075,0,0.0956296,67.4761,5.53125,14.0047
0.0877239,0,0.0956296,67.453,5.57994,14.1992
0.0885483,0,0.0956296,67.4413,5.60415,14.2941
0.0901972,0,0.0956296,67.4177,5.65911,14.4792
0.0910216,0,0.0956296,67.4058,5.68695,14.5695
0.0926705,0,0.0956296,67.3818,5.75107,14.7457
0.0943193,0,0.0956296,67.3574,5.82356,14.9161
0.0959682,0,0.0956296,67.3329,5.90424,15.0811
0.097617,0,0.0956296,67.308,5.99249,15.2407
0.0992659,0,0.0956296,67.2829,6.08758,15.3951
0.100915,0,0.0956296,67.2575,6.18944,15.5445
0.102564,0,0.0956296,67.2318,6.29811,15.689
0.103388,0,0.0956296,67.2189,6.35265,15.7595
0.105037,0,0.0956296,67.1929,6.46998,15.8971
0.106686,0,0.0956296,67.1667,6.59394,16.0302
0.108335,0,0.0956296,67.1403,6.72123,16.159
0.109983,0,0.0956296,67.1136,6.85265,16.2837
0.111632,0,0.0956296,67.0868,6.98858,16.4042
0.113281,0,0.0956296,67.0597,7.12677,16.5209
0.11493,0,0.0956296,67.0325,7.26637,16.6338
0.116579,0,0.0956296,67.0051,7.40903,16.743
0.118228,0,0.0956296,66.9775,7.55098,16.8487
0.119877,0,0.0956296,66.9497,7.70404,16.9509
0.121526,0,0.0956296,66.9217,7.85304,17.0498
