time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
5.71E-05,0,0.0956296,68,0.00537545,0.0455904
0.000119811,0,0.0956296,68,0.00536998,0.0480949
0.000188845,0,0.0956296,68,0.00537904,0.0508494
0.000264782,0,0.0956296,68,0.00539423,0.0538789
0.000348313,0,0.0956296,68,0.00542064,0.0572109
0.000440197,0,0.0956296,68,0.00546543,0.0608754
0.00054127,0,0.0956296,68,0.00553596,0.0649056
0.000652449,0,0.0956296,68,0.00564343,0.0693379
0.000774747,0,0.0956296,68,0.00579259,0.0742122
0.000909275,0,0.0956296,67.9999,0.00598949,0.0795726
0.00105725,0,0.0956296,67.9999,0.0062426,0.0854674
0.00122003,0,0.0956296,67.9999,0.00653792,0.0919497
0.00139909,0,0.0956296,67.9999,0.00691006,0.0990777
0.00159605,0,0.0956296,67.9999,0.00735675,0.106916
0.00181271,0,0.0956296,67.9999,0.0078344,0.115534
0.00205103,0,0.0956296,67.9998,0.00840572,0.125009
0.00231319,0,0.0956296,67.9998,0.00906775,0.135427
0.00260156,0,0.0956296,67.9998,0.00983842,0.146881
0.00291877,0,0.0956296,67.9997,0.0107548,0.159472
0.0032677,0,0.0956296,67.9997,0.0118379,0.173313
0.00365152,0,0.0956296,67.9996,0.0131285,0.188527
0.00407373,0,0.0956296,67.9995,0.0146688,0.205249
0.00453815,0,0.0956296,67.9994,0.0166155,0.223627
0.00504902,0,0.0956296,67.9993,0.0189784,0.243823
0.00561097,0,0.0956296,67.9992,0.0217779,0.266232
0.00622913,0,0.0956296,67.999,0.0251415,0.293592
0.00690909,0,0.0956296,67.9988,0.0291236,0.326951
0.00765705,0,0.0956296,67.9986,0.0340093,0.367575
0.00847981,0,0.0956296,67.9983,0.0401095,0.416987
0.00938485,0,0.0956296,67.9979,0.0478198,0.477011
0.0103804,0,0.0956296,67.9974,0.0562048,0.549837
0.0114755,0,0.0956296,67.9968,0.0674254,0.638078
0.0126801,0,0.0956296,67.996,0.0820991,0.744844
0.0140051,0,0.0956296,67.995,0.100919,0.873824
0.0154627,0,0.0956296,67.9938,0.124976,1.02937
0.017066,0,0.0956296,67.9921,0.155793,1.21657
0.0188297,0,0.0956296,67.99,0.195337,1.44137
0.0207697,0,0.0956296,67.9872,0.246069,1.7106
0.0229037,0,0.0956296,67.9835,0.311051,2.03202
0.0252511,0,0.0956296,67.9788,0.394028,2.41436
0.0278333,0,0.0956296,67.9725,0.499515,2.86714
0.0306737,0,0.0956296,67.9644,0.632802,3.40053
0.0337981,0,0.0956296,67.9538,0.799866,4.02495
0.037235,0,0.0956296,67.9399,1.00717,4.75039
0.0410155,0,0.0956296,67.922,1.26,5.58556
0.0451741,0,0.0956296,67.8987,1.56394,6.53653
0.0497486,0,0.0956296,67.8688,1.92277,7.60508
0.0543231,0,0.0956296,67.834,2.29315,8.68401
0.0598888,0,0.0956296,67.7857,2.74691,9.8767
0.0636539,0,0.0956296,67.7485,3.02193,10.6113
0.0665816,0,0.0956296,67.7175,3.20495,11.1454
0.0689237,0,0.0956296,67.6914,3.32572,11.5507
0.0712658,0,0.0956296,67.6643,3.4262,11.9374
0.0738312,0,0.0956296,67.6337,3.51961,12.3408
0.0757049,0,0.0956296,67.6106,3.57528,12.6225
0.0775786,0,0.0956296,67.5869,3.62296,12.8939
0.0785155,0,0.0956296,67.5748,3.64468,13.0258
0.0803892,0,0.0956296,67.5504,3.69092,13.2824
0.081326,0,0.0956296,67.538,3.71369,13.4071
0.0831997,0,0.0956296,67.5129,3.76679,13.6496
0.0841366,0,0.0956296,67.5001,3.79368,13.7675
0.0850734,0,0.0956296,67.4872,3.82297,13.8832
0.0864787,0,0.0956296,67.4677,3.87367,14.0528
0.0874156,0,0.0956296,67.4545,3.91045,14.1632
0.0892893,0,0.0956296,67.428,3.99588,14.3779
0.0906945,0,0.0956296,67.4078,4.0654,14.5337
0.0925682,0,0.0956296,67.3805,4.16713,14.7348
0.0935051,0,0.0956296,67.3667,4.21983,14.8326
0.0953788,0,0.0956296,67.3389,4.33457,15.0227
0.0972525,0,0.0956296,67.3108,4.45486,15.2058
0.0991262,0,0.0956296,67.2823,4.58037,15.3821
0.101,0,0.0956296,67.2535,4.70989,15.552
0.102874,0,0.0956296,67.2243,4.84422,15.7156
0.104747,0,0.0956296,67.1949,4.97822,15.8733
0.106621,0,0.0956296,67.1651,5.11333,16.0251
0.108495,0,0.0956296,67.1351,5.24885,16.1713
0.110368,0,0.0956296,67.1048,5.38591,16.3121
0.112242,0,0.0956296,67.0742,5.52057,16.4478
0.114116,0,0.0956296,67.0434,5.65328,16.5785
0.115989,0,0.0956296,67.0124,5.78434,16.7043
0.117863,0,0.0956296,66.9811,5.91233,16.8256
0.119362,0,0.0956296,66.9558,6.01975,16.9194
0.120861,0,0.0956296,66.9305,6.12203,17.0104
0.12236,0,0.0956296,66.905,6.22062,17.0987
0.123859,0,0.0956296,66.8794,6.31663,17.1844
0.125358,0,0.0956296,66.8536,6.41215,17.2675
0.126857,0,0.0956296,66.8277,6.50778,17.3482
0.128356,0,0.0956296,66.8017,6.60149,17.4266
0.129855,0,0.0956296,66.7756,6.69438,17.5026
0.131354,0,0.0956296,66.7494,6.78763,17.5764
0.132853,0,0.0956296,66.723,6.87939,17.6479
