time (sec),SN8 ,SN17 ,SN18 ,SN80 ,SN93 ,SN99 ,SN100 ,SN105 ,SN107 
4.58E-05,0,0,0,0,0,0,0,0,0
9.62E-05,0,0,0,0,0,0,0,0,0
0.000151564,0,0,0,0,0,0,0,0,0
0.00021251,0,0,0,0,0,0,0,0,0
0.00027955,0,0,0,0,0,0,0,0,0
0.000353295,0,0,0,0,0,0,0,0,0
0.000434414,0,0,0,0,0,0,0,0,0
0.000523645,0,0,0,0,0,0,0,0,0
0.000621799,0,0,0,0,0,0,0,0,0
0.000729768,0,0,0,0,0,0,0,0,0
0.000848535,0,0,0,0,0,0,0,0,0
0.000979178,0,0,0,0,0,0,0,0,0
0.00112289,0,0,0,0,0,0,0,0,0
0.00128096,0,0,0,0,0,0,0,0,0
0.00145485,0,0,0,0,0,0,0,0,0
0.00164612,0,0,0,0,0,0,0,0,0
0.00185653,0,0,0,0,0,0,0,0,0
0.00208797,0,0,0,0,0,0,0,0,0
0.00234255,0,0,0,0,0,0,0,0,0
0.0026226,0,0,0,0,0,0,0,0,0
0.00293065,0,0,0,0,0,0,0,0,0
0.0032695,0,0,0,0,0,0,0,0,0
0.00364224,0,0,0,0,0,0,0,0,0
0.00405226,0,0,0,0,0,0,0,0,0
0.00450327,0,0,0,0,0,0,0,0,0
0.00499939,0,0,0,0,0,0,0,0,0
0.00554512,0,0,0,0,0,0,0,0,0
0.00614542,0,0,0,0,0,0,0,0,0
0.00680575,0,0,0,0,0,0,0,0,0
0.00753212,0,0,0,0,0,0,0,0,0
0.00833112,0,0,0,0,0,0,0,0,0
0.00921002,0,0,0,0,0,0,0,0,0
0.0101768,0,0,0,0,0,0,0,0,0
0.0112403,0,0,0,0,0,0,0,0,0
0.0124101,0,0,0,0,0,0,0,0,0
0.0136969,0,0,0,0,0,0,0,0,0
0.0151124,0,0,0,0,0,0,0,0,0
0.0166694,0,0,0,0,0,0,0,0,0
0.0183821,0,0,0,0,0,0,0,0,0
0.0202661,0,0,0,0,0,0,0,0,0
0.0223385,0,0,0,0,0,0,0,0,0
0.0246182,0,0,0,0,0,0,0,0,0
0.0271258,0,0,0,0,0,0,0,0,0
0.0298842,0,0,0,0,0,0,0,0,0
0.0329184,0,0,0,0,0,0,0,0,0
0.036256,0,0,0,0,0,0,0,0,0
0.0399274,0,0,0,0,0,0,0,0,0
0.0439659,0,0,0,0,0,0,0,0,0
0.0480044,0,0,0,0,0,0,0,0,0
0.052043,0,0,0,0,0,0,0,0,0
0.0562895,0,0,0,0,0,0,0,0,0
0.0588742,0,0,0,0,0,0,0,0,0
0.0614588,0,0,0,0,0,0,0,0,0
0.0635265,0,0,0,0,0,0,0,0,0
0.0655943,0,0,0,0,0,0,0,0,0
0.067662,0,0,0,0,0,0,0,0,0
0.0697297,0,0,0,0,0,0,0,0,0
0.0717975,0,0,0,0,0,0,0,0,0
0.0738652,0,0,0,0,0,0,0,0,0
0.0759329,0,0,0,0,0,0,0,0,0
0.0769668,0,0,0,0,0,0,0,0,0
0.0790345,0,0,0,0,0,0,0,0,0
0.0805853,0,0,0,0,0,0,0,0,0
0.0821361,0,0,0,0,0,0,0,0,0
0.0831699,0,0,0,0,0,0,0,0,0
0.0847207,0,0,0,0,0,0,0,0,0
0.0857546,0,0,0,0,0,0,0,0,0
0.0878223,0,0,0,0,0,0,0,0,0
0.0888562,0,0,0,0,0,0,0,0,0
0.0909239,0,0,0,0,0,0,0,0,0
0.0919578,0,0,0,0,0,0,0,0,0
0.0940255,0,0,0,0,0,0,0,0,0
0.0960932,0,0,0,0,0,0,0,0,0
0.098161,0,0,0,0,0,0,0,0,0
0.100229,0,0,0,0,0,0,0,0,0
0.101883,0,0,0,0,0,0,0,0,0
0.103537,0,0,0,0,0,0,0,0,0
0.105191,0,0,0,0,0,0,0,0,0
0.106845,0,0,0,0,0,0,0,0,0
0.1085,0,0,0,0,0,0,0,0,0
0.110154,0,0,0,0,0,0,0,0,0
0.111808,0,0,0,0,0,0,0,0,0
0.113462,0,0,0,0,0,0,0,0,0
0.115116,0,0,0,0,0,0,0,0,0
0.11677,0,0,0,0,0,0,0,0,0
0.118425,0,0,0,0,0,0,0,0,0
0.120079,0,0,0,0,0,0,0,0,0
0.120906,0,0,0,0,0,0,0,0,0
0.12256,0,0,0,0,0,0,0,0,0
0.124214,0,0,0,0,0,0,0,0,0
0.125868,0,0,0,0,0,0,0,0,0
0.127523,0,0,0,0,0,0,0,0,0
