time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
5.71E-05,0,0.0956296,68,0.0046726,0.0455904
0.000119811,0,0.0956296,68,0.00467772,0.0480949
0.000188845,0,0.0956296,68,0.00469635,0.0508494
0.000264782,0,0.0956296,68,0.00472881,0.0538789
0.000348313,0,0.0956296,68,0.00477865,0.0572109
0.000440197,0,0.0956296,68,0.00484995,0.0608754
0.00054127,0,0.0956296,68,0.00494719,0.0649056
0.000652449,0,0.0956296,68,0.0050601,0.0693379
0.000774747,0,0.0956296,68,0.00521199,0.0742122
0.000909275,0,0.0956296,67.9999,0.00539636,0.0795726
0.00105725,0,0.0956296,67.9999,0.00560698,0.0854674
0.00122003,0,0.0956296,67.9999,0.00585941,0.0919497
0.00139909,0,0.0956296,67.9999,0.00615413,0.0990777
0.00159605,0,0.0956296,67.9999,0.00649864,0.106916
0.00181271,0,0.0956296,67.9999,0.00691068,0.115534
0.00205103,0,0.0956296,67.9998,0.00739673,0.125009
0.00231319,0,0.0956296,67.9998,0.00797311,0.135427
0.00260156,0,0.0956296,67.9998,0.0087047,0.146881
0.00291877,0,0.0956296,67.9997,0.00959349,0.159472
0.0032677,0,0.0956296,67.9997,0.0106294,0.173313
0.00365152,0,0.0956296,67.9996,0.0118121,0.188527
0.00407373,0,0.0956296,67.9995,0.0131867,0.205249
0.00453815,0,0.0956296,67.9994,0.0148394,0.223627
0.00504902,0,0.0956296,67.9993,0.0168026,0.243823
0.00561097,0,0.0956296,67.9992,0.0191558,0.266232
0.00622913,0,0.0956296,67.999,0.0220271,0.293592
0.00690909,0,0.0956296,67.9988,0.0255513,0.326951
0.00765705,0,0.0956296,67.9986,0.0297586,0.367575
0.00847981,0,0.0956296,67.9983,0.0347114,0.416987
0.00938485,0,0.0956296,67.9979,0.0410635,0.477011
0.0103804,0,0.0956296,67.9974,0.0490647,0.549837
0.0114755,0,0.0956296,67.9968,0.0591622,0.638078
0.0126801,0,0.0956296,67.996,0.0719576,0.744844
0.0140051,0,0.0956296,67.995,0.0882404,0.873824
0.0154627,0,0.0956296,67.9938,0.109006,1.02937
0.017066,0,0.0956296,67.9921,0.13551,1.21657
0.0188297,0,0.0956296,67.99,0.169327,1.44137
0.0207697,0,0.0956296,67.9872,0.212395,1.7106
0.0229037,0,0.0956296,67.9835,0.267062,2.03202
0.0252511,0,0.0956296,67.9788,0.336098,2.41436
0.0278333,0,0.0956296,67.9725,0.422688,2.86714
0.0306737,0,0.0956296,67.9644,0.530327,3.40053
0.0337981,0,0.0956296,67.9538,0.66259,4.02495
0.037235,0,0.0956296,67.9399,0.823097,4.75039
0.0410155,0,0.0956296,67.922,1.01436,5.58556
0.0451741,0,0.0956296,67.8987,1.23873,6.53653
0.0493327,0,0.0956296,67.8716,1.46859,7.51151
0.0534914,0,0.0956296,67.8403,1.69772,8.49581
0.0587669,0,0.0956296,67.7955,1.98541,9.64836
0.0614284,0,0.0956296,67.7698,2.10493,10.1851
0.0635576,0,0.0956296,67.7481,2.18225,10.5944
0.0656869,0,0.0956296,67.7256,2.2454,10.9866
0.067816,0,0.0956296,67.7022,2.29795,11.3624
0.0699453,0,0.0956296,67.678,2.3441,11.7226
0.0716486,0,0.0956296,67.658,2.37902,11.9999
0.073352,0,0.0956296,67.6376,2.41529,12.2679
0.0750554,0,0.0956296,67.6167,2.45616,12.5269
0.0767587,0,0.0956296,67.5953,2.50025,12.7772
0.0784621,0,0.0956296,67.5736,2.54779,13.0192
0.0793138,0,0.0956296,67.5625,2.57185,13.1371
0.0810171,0,0.0956296,67.5401,2.62633,13.367
0.0818688,0,0.0956296,67.5287,2.65396,13.4791
0.0831463,0,0.0956296,67.5115,2.69953,13.6436
0.083998,0,0.0956296,67.4999,2.73162,13.7509
0.0857014,0,0.0956296,67.4765,2.8035,13.9603
0.0865531,0,0.0956296,67.4646,2.84082,14.0623
0.0874048,0,0.0956296,67.4526,2.88023,14.1626
0.0891081,0,0.0956296,67.4285,2.96606,14.3581
0.0899598,0,0.0956296,67.4163,3.01006,14.4534
0.0916632,0,0.0956296,67.3916,3.1041,14.6392
0.0933665,0,0.0956296,67.3667,3.20214,14.8188
0.0950699,0,0.0956296,67.3415,3.30179,14.9924
0.0967733,0,0.0956296,67.3159,3.40265,15.1601
0.0984766,0,0.0956296,67.2901,3.50573,15.3223
0.10018,0,0.0956296,67.264,3.60663,15.479
0.101883,0,0.0956296,67.2376,3.70621,15.6304
0.103587,0,0.0956296,67.211,3.80639,15.7768
0.10529,0,0.0956296,67.1841,3.90322,15.9183
0.106993,0,0.0956296,67.157,3.99725,16.055
0.108697,0,0.0956296,67.1297,4.08912,16.1871
0.1104,0,0.0956296,67.1021,4.18109,16.3149
0.112103,0,0.0956296,67.0743,4.26917,16.4383
0.113807,0,0.0956296,67.0463,4.35544,16.5576
0.11551,0,0.0956296,67.0181,4.44044,16.673
0.117214,0,0.0956296,66.9897,4.52423,16.7844
0.118917,0,0.0956296,66.9611,4.60943,16.8921
0.12062,0,0.0956296,66.9323,4.69216,16.9962
0.122324,0,0.0956296,66.9034,4.77324,17.0969
0.124027,0,0.0956296,66.8743,4.85481,17.1941
0.124879,0,0.0956296,66.8596,4.89434,17.2415
0.126582,0,0.0956296,66.8303,4.97576,17.3339
0.128285,0,0.0956296,66.8007,5.05879,17.4232
0.129989,0,0.0956296,66.771,5.1422,17.5095
