time (sec),SN8 ,SN17 ,SN18 ,SN80 ,SN93 ,SN99 ,SN100 ,SN105 ,SN107 
3.90E-05,0,0,0,0,0,0,0,0,0
8.20E-05,0,0,0,0,0,0,0,0,0
0.000129195,0,0,0,0,0,0,0,0,0
0.000181146,0,0,0,0,0,0,0,0,0
0.000238292,0,0,0,0,0,0,0,0,0
0.000301153,0,0,0,0,0,0,0,0,0
0.0003703,0,0,0,0,0,0,0,0,0
0.000446361,0,0,0,0,0,0,0,0,0
0.000530029,0,0,0,0,0,0,0,0,0
0.000622063,0,0,0,0,0,0,0,0,0
0.000723301,0,0,0,0,0,0,0,0,0
0.000834663,0,0,0,0,0,0,0,0,0
0.000957161,0,0,0,0,0,0,0,0,0
0.00109191,0,0,0,0,0,0,0,0,0
0.00124013,0,0,0,0,0,0,0,0,0
0.00140318,0,0,0,0,0,0,0,0,0
0.00158252,0,0,0,0,0,0,0,0,0
0.00177981,0,0,0,0,0,0,0,0,0
0.00199682,0,0,0,0,0,0,0,0,0
0.00223554,0,0,0,0,0,0,0,0,0
0.00249812,0,0,0,0,0,0,0,0,0
0.00278696,0,0,0,0,0,0,0,0,0
0.00310469,0,0,0,0,0,0,0,0,0
0.00345419,0,0,0,0,0,0,0,0,0
0.00383864,0,0,0,0,0,0,0,0,0
0.00426154,0,0,0,0,0,0,0,0,0
0.00472673,0,0,0,0,0,0,0,0,0
0.00523843,0,0,0,0,0,0,0,0,0
0.0058013,0,0,0,0,0,0,0,0,0
0.00642047,0,0,0,0,0,0,0,0,0
0.00710154,0,0,0,0,0,0,0,0,0
0.00785073,0,0,0,0,0,0,0,0,0
0.00867483,0,0,0,0,0,0,0,0,0
0.00958135,0,0,0,0,0,0,0,0,0
0.0105785,0,0,0,0,0,0,0,0,0
0.0116754,0,0,0,0,0,0,0,0,0
0.012882,0,0,0,0,0,0,0,0,0
0.0142092,0,0,0,0,0,0,0,0,0
0.0156692,0,0,0,0,0,0,0,0,0
0.0172751,0,0,0,0,0,0,0,0,0
0.0190416,0,0,0,0,0,0,0,0,0
0.0209848,0,0,0,0,0,0,0,0,0
0.0231223,0,0,0,0,0,0,0,0,0
0.0254736,0,0,0,0,0,0,0,0,0
0.02806,0,0,0,0,0,0,0,0,0
0.030905,0,0,0,0,0,0,0,0,0
0.0340346,0,0,0,0,0,0,0,0,0
0.0374771,0,0,0,0,0,0,0,0,0
0.0412638,0,0,0,0,0,0,0,0,0
0.0450505,0,0,0,0,0,0,0,0,0
0.0488373,0,0,0,0,0,0,0,0,0
0.052624,0,0,0,0,0,0,0,0,0
0.0566516,0,0,0,0,0,0,0,0,0
0.0590751,0,0,0,0,0,0,0,0,0
0.0614986,0,0,0,0,0,0,0,0,0
0.0639222,0,0,0,0,0,0,0,0,0
0.065861,0,0,0,0,0,0,0,0,0
0.0677998,0,0,0,0,0,0,0,0,0
0.0697386,0,0,0,0,0,0,0,0,0
0.0716774,0,0,0,0,0,0,0,0,0
0.0736162,0,0,0,0,0,0,0,0,0
0.075555,0,0,0,0,0,0,0,0,0
0.0774938,0,0,0,0,0,0,0,0,0
0.0784632,0,0,0,0,0,0,0,0,0
0.080402,0,0,0,0,0,0,0,0,0
0.0813714,0,0,0,0,0,0,0,0,0
0.0828255,0,0,0,0,0,0,0,0,0
0.083795,0,0,0,0,0,0,0,0,0
0.0852491,0,0,0,0,0,0,0,0,0
0.0867032,0,0,0,0,0,0,0,0,0
0.0876726,0,0,0,0,0,0,0,0,0
0.0896114,0,0,0,0,0,0,0,0,0
0.0910655,0,0,0,0,0,0,0,0,0
0.0930043,0,0,0,0,0,0,0,0,0
0.0949431,0,0,0,0,0,0,0,0,0
0.0959125,0,0,0,0,0,0,0,0,0
0.0978513,0,0,0,0,0,0,0,0,0
0.0997901,0,0,0,0,0,0,0,0,0
0.101729,0,0,0,0,0,0,0,0,0
0.10328,0,0,0,0,0,0,0,0,0
0.104831,0,0,0,0,0,0,0,0,0
0.106382,0,0,0,0,0,0,0,0,0
0.107933,0,0,0,0,0,0,0,0,0
0.109484,0,0,0,0,0,0,0,0,0
0.111035,0,0,0,0,0,0,0,0,0
0.112586,0,0,0,0,0,0,0,0,0
0.114137,0,0,0,0,0,0,0,0,0
0.115688,0,0,0,0,0,0,0,0,0
0.117239,0,0,0,0,0,0,0,0,0
0.11879,0,0,0,0,0,0,0,0,0
0.120342,0,0,0,0,0,0,0,0,0
0.121893,0,0,0,0,0,0,0,0,0
0.123444,0,0,0,0,0,0,0,0,0
0.124995,0,0,0,0,0,0,0,0,0
0.126546,0,0,0,0,0,0,0,0,0
0.128097,0,0,0,0,0,0,0,0,0
0.129648,0,0,0,0,0,0,0,0,0
0.131199,0,0,0,0,0,0,0,0,0
0.13275,0,0,0,0,0,0,0,0,0
0.134301,0,0,0,0,0,0,0,0,0
0.135852,0,0,0,0,0,0,0,0,0
0.137403,0,0,0,0,0,0,0,0,0
0.138954,0,0,0,0,0,0,0,0,0
0.13973,0,0,0,0,0,0,0,0,0
0.141281,0,0,0,0,0,0,0,0,0
0.142444,0,0,0,0,0,0,0,0,0
0.143607,0,0,0,0,0,0,0,0,0
0.144383,0,0,0,0,0,0,0,0,0
0.145546,0,0,0,0,0,0,0,0,0
0.146709,0,0,0,0,0,0,0,0,0
0.147485,0,0,0,0,0,0,0,0,0
0.149036,0,0,0,0,0,0,0,0,0
0.149811,0,0,0,0,0,0,0,0,0
0.151362,0,0,0,0,0,0,0,0,0
0.152913,0,0,0,0,0,0,0,0,0
0.154465,0,0,0,0,0,0,0,0,0
0.156016,0,0,0,0,0,0,0,0,0
0.157567,0,0,0,0,0,0,0,0,0
0.159118,0,0,0,0,0,0,0,0,0
0.160669,0,0,0,0,0,0,0,0,0
0.161444,0,0,0,0,0,0,0,0,0
0.162995,0,0,0,0,0,0,0,0,0
0.164546,0,0,0,0,0,0,0,0,0
0.166097,0,0,0,0,0,0,0,0,0
0.167648,0,0,0,0,0,0,0,0,0
0.169199,0,0,0,0,0,0,0,0,0
0.170751,0,0,0,0,0,0,0,0,0
0.172302,0,0,0,0,0,0,0,0,0
0.173853,0,0,0,0,0,0,0,0,0
0.175404,0,0,0,0,0,0,0,0,0
0.176955,0,0,0,0,0,0,0,0,0
0.178506,0,0,0,0,0,0,0,0,0
0.180057,0,0,0,0,0,0,0,0,0
0.181608,0,0,0,0,0,0,0,0,0
0.183159,0,0,0,0,0,0,0,0,0
0.18471,0,0,0,0,0,0,0,0,0
0.186261,0,0,0,0,0,0,0,0,0
0.187037,0,0,0,0,0,0,0,0,0
0.188588,0,0,0,0,0,0,0,0,0
0.190139,0,0,0,0,0,0,0,0,0
0.19169,0,0,0,0,0,0,0,0,0
0.193241,0,0,0,0,0,0,0,0,0
0.194404,0,0,0,0,0,0,0,0,0
0.195567,0,0,0,0,0,0,0,0,0
0.196731,0,0,0,0,0,0,0,0,0
0.197506,0,0,0,0,0,0,0,0,0
0.198669,0,0,0,0,0,0,0,0,0
0.199445,0,0,0,0,0,0,0,0,0
0.200996,0,0,0,0,0,0,0,0,0
0.201616,0,0,0,0,0,0,0,0,0
0.202857,0,0,0,0,0,0,0,0,0
0.203478,0,0,0,0,0,0,0,0,0
0.204719,0,0,0,0,0,0,0,0,0
0.205959,0,0,0,0,0,0,0,0,0
0.2072,0,0,0,0,0,0,0,0,0
0.208441,0,0,0,0,0,0,0,0,0
0.209682,0,0,0,0,0,0,0,0,0
0.210923,0,0,0,0,0,0,0,0,0
0.212163,0,0,0,0,0,0,0,0,0
0.213404,0,0,0,0,0,0,0,0,0
0.214645,0,0,0,0,0,0,0,0,0
0.215886,0,0,0,0,0,0,0,0,0
0.217127,0,0,0,0,0,0,0,0,0
0.218368,0,0,0,0,0,0,0,0,0
0.219609,0,0,0,0,0,0,0,0,0
0.220849,0,0,0,0,0,0,0,0,0
0.22209,0,0,0,0,0,0,0,0,0
0.222711,0,0,0,0,0,0,0,0,0
0.223952,0,0,0,0,0,0,0,0,0
0.225192,0,0,0,0,0,0,0,0,0
0.226433,0,0,0,0,0,0,0,0,0
0.227674,0,0,0,0,0,0,0,0,0
0.228915,0,0,0,0,0,0,0,0,0
0.230156,0,0,0,0,0,0,0,0,0
0.231396,0,0,0,0,0,0,0,0,0
0.232637,0,0,0,0,0,0,0,0,0
0.23363,0,0,0,0,0,0,0,0,0
0.234623,0,0,0,0,0,0,0,0,0
0.235615,0,0,0,0,0,0,0,0,0
0.236608,0,0,0,0,0,0,0,0,0
0.237601,0,0,0,0,0,0,0,0,0
0.238593,0,0,0,0,0,0,0,0,0
0.239586,0,0,0,0,0,0,0,0,0
0.240579,0,0,0,0,0,0,0,0,0
0.241571,0,0,0,0,0,0,0,0,0
0.242564,0,0,0,0,0,0,0,0,0
0.24306,0,0,0,0,0,0,0,0,0
0.244053,0,0,0,0,0,0,0,0,0
0.245046,0,0,0,0,0,0,0,0,0
0.245542,0,0,0,0,0,0,0,0,0
0.246535,0,0,0,0,0,0,0,0,0
0.24717,0,0,0,0,0,0,0,0,0
0.247488,0,0,0,0,0,0,0,0,0
0.247805,0,0,0,0,0,0,0,0,0
0.248441,0,0,0,0,0,0,0,0,0
0.248695,0,0,0,0,0,0,0,0,0
0.248949,0,0,0,0,0,0,0,0,0
0.249203,0,0,0,0,0,0,0,0,0
0.249457,0,0,0,0,0,0,0,0,0
0.249483,0,0,0,0,0,0,0,0,0
0.249737,0,0,0,0,0,0,0,0,0
0.24996,0,0,0,0,0,0,0,0,0
0.250318,0,0,0,0,0,0,0,0,0
0.25033,0,0,0,0,0,0,0,0,0
0.250559,0,0,0,0,0,0,0,0,0
0.25057,0,0,0,0,0,0,0,0,0
0.250799,0,0,0,0,0,0,0,0,0
0.250806,0,0,0,0,0,0,0,0,0
0.250814,0,0,0,0,0,0,0,0,0
0.25096,0,0,0,0,0,0,0,0,0
0.250967,0,0,0,0,0,0,0,0,0
0.250973,0,0,0,0,0,0,0,0,0
0.251115,0,0,0,0,0,0,0,0,0
0.25112,0,0,0,0,0,0,0,0,0
0.251124,0,0,0,0,0,0,0,0,0
