time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
3.90E-05,0,0.0956296,68,0.00234661,0.031201
8.20E-05,0,0.0956296,68,0.0023443,0.0329156
0.000129195,0,0.0956296,68,0.00234856,0.0348016
0.000181146,0,0.0956296,68,0.00235656,0.0368759
0.000238292,0,0.0956296,68,0.00237074,0.0391574
0.000301153,0,0.0956296,68,0.00239554,0.0416667
0.0003703,0,0.0956296,68,0.00243316,0.0444267
0.000446361,0,0.0956296,68,0.00248599,0.0474621
0.000530029,0,0.0956296,68,0.00255697,0.0508006
0.000622063,0,0.0956296,68,0.00264912,0.0544723
0.000723301,0,0.0956296,68,0.00275524,0.0585104
0.000834663,0,0.0956296,68,0.00289005,0.0629513
0.000957161,0,0.0956296,68,0.00305263,0.0678352
0.00109191,0,0.0956296,67.9999,0.00323013,0.0732061
0.00124013,0,0.0956296,67.9999,0.00343893,0.0791125
0.00140318,0,0.0956296,67.9999,0.00368433,0.0856074
0.00158252,0,0.0956296,67.9999,0.00397158,0.0927494
0.00177981,0,0.0956296,67.9999,0.00431141,0.100603
0.00199682,0,0.0956296,67.9999,0.00471307,0.109238
0.00223554,0,0.0956296,67.9998,0.00519783,0.118732
0.00249812,0,0.0956296,67.9998,0.00580751,0.12917
0.00278696,0,0.0956296,67.9998,0.00654644,0.140646
0.00310469,0,0.0956296,67.9997,0.00743103,0.153262
0.00345419,0,0.0956296,67.9997,0.00844324,0.16713
0.00383864,0,0.0956296,67.9996,0.00961354,0.182373
0.00426154,0,0.0956296,67.9995,0.0109833,0.199128
0.00472673,0,0.0956296,67.9994,0.0126366,0.217542
0.00523843,0,0.0956296,67.9993,0.0146038,0.237777
0.0058013,0,0.0956296,67.9992,0.0169994,0.261071
0.00642047,0,0.0956296,67.999,0.0199285,0.289412
0.00710154,0,0.0956296,67.9988,0.0235234,0.323858
0.00785073,0,0.0956296,67.9986,0.0276789,0.365688
0.00867483,0,0.0956296,67.9983,0.0327284,0.416435
0.00958135,0,0.0956296,67.9979,0.0391902,0.47794
0.0105785,0,0.0956296,67.9974,0.0473603,0.552406
0.0116754,0,0.0956296,67.9968,0.0576521,0.642462
0.012882,0,0.0956296,67.9961,0.0707034,0.751236
0.0142092,0,0.0956296,67.9951,0.0873028,0.882432
0.0156692,0,0.0956296,67.9938,0.108468,1.04042
0.0172751,0,0.0956296,67.9921,0.135464,1.23031
0.0190416,0,0.0956296,67.9899,0.169882,1.45805
0.0209848,0,0.0956296,67.9871,0.21367,1.73048
0.0231223,0,0.0956296,67.9834,0.269191,2.05538
0.0254736,0,0.0956296,67.9786,0.339222,2.44144
0.02806,0,0.0956296,67.9722,0.426948,2.8982
0.030905,0,0.0956296,67.964,0.535856,3.43576
0.0340346,0,0.0956296,67.9533,0.669487,4.06447
0.0374771,0,0.0956296,67.9393,0.831428,4.79423
0.0412638,0,0.0956296,67.9211,1.02406,5.63359
0.0454292,0,0.0956296,67.8976,1.24962,6.58844
0.0495946,0,0.0956296,67.8702,1.48044,7.56648
0.05376,0,0.0956296,67.8387,1.71005,8.55299
0.059028,0,0.0956296,67.7936,1.99642,9.69824
0.0616938,0,0.0956296,67.7678,2.11542,10.2333
0.0638265,0,0.0956296,67.7459,2.19234,10.6412
0.0659592,0,0.0956296,67.7232,2.25531,11.032
0.0680919,0,0.0956296,67.6997,2.30763,11.4066
0.0697981,0,0.0956296,67.6803,2.34222,11.6949
0.0715042,0,0.0956296,67.6603,2.37479,11.9736
0.0732104,0,0.0956296,67.6399,2.41116,12.2429
0.0749165,0,0.0956296,67.619,2.45003,12.5032
0.0766227,0,0.0956296,67.5977,2.49201,12.7547
0.0783288,0,0.0956296,67.5759,2.53889,12.9978
0.0791819,0,0.0956296,67.5648,2.5624,13.1163
0.080888,0,0.0956296,67.5424,2.61581,13.3473
0.0817411,0,0.0956296,67.531,2.64325,13.4598
0.0834473,0,0.0956296,67.5081,2.70534,13.6792
0.0843004,0,0.0956296,67.4964,2.73763,13.7862
0.0851534,0,0.0956296,67.4846,2.77185,13.8913
0.0864331,0,0.0956296,67.4669,2.82819,14.0457
0.0872861,0,0.0956296,67.4549,2.86785,14.1464
0.0889923,0,0.0956296,67.4308,2.95416,14.3428
0.0898454,0,0.0956296,67.4185,2.99844,14.4385
0.0915515,0,0.0956296,67.3939,3.09318,14.6251
0.0932577,0,0.0956296,67.3689,3.19226,14.8055
0.0949638,0,0.0956296,67.3437,3.29245,14.9798
0.09667,0,0.0956296,67.3181,3.394,15.1482
0.0983761,0,0.0956296,67.2923,3.49754,15.311
0.100082,0,0.0956296,67.2661,3.5989,15.4683
0.101788,0,0.0956296,67.2398,3.69919,15.6204
0.103495,0,0.0956296,67.2131,3.80038,15.7673
0.105201,0,0.0956296,67.1862,3.89737,15.9094
0.106907,0,0.0956296,67.1591,3.99171,16.0466
0.108613,0,0.0956296,67.1317,4.08504,16.1793
0.110319,0,0.0956296,67.1041,4.17762,16.3074
0.112025,0,0.0956296,67.0763,4.26626,16.4313
0.113732,0,0.0956296,67.0482,4.35312,16.5511
0.115438,0,0.0956296,67.02,4.43896,16.6668
0.117144,0,0.0956296,66.9915,4.52312,16.7786
0.11885,0,0.0956296,66.9629,4.60864,16.8867
0.120556,0,0.0956296,66.9341,4.69173,16.9912
0.122262,0,0.0956296,66.9051,4.77312,17.0921
0.123115,0,0.0956296,66.8905,4.81289,17.1413
0.124821,0,0.0956296,66.8613,4.89418,17.2373
0.126528,0,0.0956296,66.8319,4.97646,17.33
0.128234,0,0.0956296,66.8023,5.05969,17.4195
0.12994,0,0.0956296,66.7726,5.1437,17.5061
0.131646,0,0.0956296,66.7427,5.22718,17.5898
0.133352,0,0.0956296,66.7127,5.31123,17.6707
0.135058,0,0.0956296,66.6826,5.39619,17.7488
0.136764,0,0.0956296,66.6523,5.48153,17.8244
0.138471,0,0.0956296,66.6219,5.5662,17.8974
0.140177,0,0.0956296,66.5913,5.65142,17.9679
0.14103,0,0.0956296,66.576,5.69396,18.0023
0.142736,0,0.0956296,66.5453,5.78057,18.0693
0.143589,0,0.0956296,66.5299,5.82358,18.102
0.144869,0,0.0956296,66.5067,5.88972,18.1499
0.145722,0,0.0956296,66.4912,5.9348,18.1812
0.147002,0,0.0956296,66.468,6.00421,18.2272
0.148281,0,0.0956296,66.4446,6.07489,18.272
0.149561,0,0.0956296,66.4213,6.1472,18.3157
0.151267,0,0.0956296,66.39,6.24585,18.3722
0.15212,0,0.0956296,66.3743,6.29547,18.3997
0.153826,0,0.0956296,66.3429,6.39663,18.4534
0.155532,0,0.0956296,66.3115,6.49926,18.5053
0.157238,0,0.0956296,66.2799,6.60261,18.5555
0.158945,0,0.0956296,66.2482,6.70505,18.6039
0.160651,0,0.0956296,66.2165,6.80715,18.6508
0.162357,0,0.0956296,66.1847,6.90909,18.696
0.164063,0,0.0956296,66.1528,7.01038,18.7398
0.165769,0,0.0956296,66.1208,7.10983,18.7821
0.167475,0,0.0956296,66.0888,7.20825,18.8229
0.168755,0,0.0956296,66.0647,7.28151,18.8527
0.170461,0,0.0956296,66.0325,7.37861,18.8912
0.172167,0,0.0956296,66.0003,7.4741,18.9284
0.173873,0,0.0956296,65.968,7.56772,18.9643
0.17558,0,0.0956296,65.9356,7.66538,18.9991
0.177286,0,0.0956296,65.9032,7.75922,19.0327
0.178651,0,0.0956296,65.8772,7.8319,19.0587
0.180016,0,0.0956296,65.8512,7.90481,19.0841
0.18138,0,0.0956296,65.8252,7.97645,19.1087
0.182745,0,0.0956296,65.7991,8.04737,19.1327
0.18411,0,0.0956296,65.773,8.11802,19.1561
0.185475,0,0.0956296,65.7468,8.18851,19.1788
0.18684,0,0.0956296,65.7206,8.25852,19.2009
0.188205,0,0.0956296,65.6944,8.32872,19.2225
0.18957,0,0.0956296,65.6682,8.39799,19.2434
0.190935,0,0.0956296,65.6419,8.46693,19.2638
0.191617,0,0.0956296,65.6288,8.50133,19.2738
0.192982,0,0.0956296,65.6025,8.57019,19.2933
0.194347,0,0.0956296,65.5761,8.63951,19.3124
0.19503,0,0.0956296,65.563,8.67431,19.3217
