time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
7.96E-05,0,0.0956296,68,0.00974918,0.0635626
0.000167116,0,0.0956296,68,0.00975669,0.0670526
0.000263407,0,0.0956296,68,0.00979138,0.070891
0.000369327,0,0.0956296,68,0.00984528,0.0751123
0.000485839,0,0.0956296,68,0.00993434,0.0797548
0.000614002,0,0.0956296,68,0.0100667,0.0848602
0.000754982,0,0.0956296,67.9999,0.0102517,0.0904747
0.000910059,0,0.0956296,67.9999,0.0104996,0.0966487
0.00108064,0,0.0956296,67.9999,0.0108213,0.103438
0.00126829,0,0.0956296,67.9999,0.0112275,0.110904
0.0014747,0,0.0956296,67.9999,0.0116664,0.119112
0.00170174,0,0.0956296,67.9998,0.0122139,0.128138
0.0019515,0,0.0956296,67.9998,0.012838,0.138062
0.00222623,0,0.0956296,67.9998,0.0135762,0.148972
0.00252843,0,0.0956296,67.9997,0.014433,0.160967
0.00286085,0,0.0956296,67.9997,0.0154347,0.174152
0.00322651,0,0.0956296,67.9996,0.0166298,0.188646
0.00362875,0,0.0956296,67.9995,0.0180549,0.204577
0.0040712,0,0.0956296,67.9995,0.0197429,0.222087
0.0045579,0,0.0956296,67.9993,0.0217522,0.241329
0.00509327,0,0.0956296,67.9992,0.0243148,0.262474
0.00568217,0,0.0956296,67.9991,0.0274407,0.286141
0.00632997,0,0.0956296,67.9989,0.0311271,0.315146
0.00704255,0,0.0956296,67.9986,0.0355875,0.35063
0.00782638,0,0.0956296,67.9984,0.0409299,0.39397
0.0086886,0,0.0956296,67.998,0.0476584,0.44682
0.00963704,0,0.0956296,67.9976,0.0560634,0.511167
0.0106803,0,0.0956296,67.9971,0.065414,0.589389
0.0118279,0,0.0956296,67.9964,0.0778967,0.684323
0.0130903,0,0.0956296,67.9955,0.094183,0.799346
0.0144789,0,0.0956296,67.9944,0.115074,0.938451
0.0160064,0,0.0956296,67.993,0.141809,1.10634
0.0176866,0,0.0956296,67.9911,0.1761,1.30851
0.0195348,0,0.0956296,67.9887,0.220122,1.55134
0.0215679,0,0.0956296,67.9856,0.27662,1.84213
0.0238043,0,0.0956296,67.9814,0.348954,2.18913
0.0262643,0,0.0956296,67.9761,0.441233,2.60152
0.0289703,0,0.0956296,67.969,0.558352,3.08924
0.0319469,0,0.0956296,67.9598,0.705966,3.6627
0.0352212,0,0.0956296,67.9478,0.890562,4.3323
0.0388229,0,0.0956296,67.9322,1.11791,5.10768
0.0427847,0,0.0956296,67.912,1.39365,5.99656
0.0471428,0,0.0956296,67.8859,1.72286,7.00335
0.0515008,0,0.0956296,67.8553,2.06727,8.02911
0.0558589,0,0.0956296,67.8203,2.41423,9.02874
0.0611783,0,0.0956296,67.7723,2.83298,10.1366
0.0647833,0,0.0956296,67.7358,3.08455,10.8229
0.0675725,0,0.0956296,67.7056,3.24986,11.321
0.0698038,0,0.0956296,67.6803,3.35842,11.6999
0.0720351,0,0.0956296,67.6542,3.44844,12.0622
0.0738202,0,0.0956296,67.6327,3.50712,12.3406
0.0756052,0,0.0956296,67.6107,3.55672,12.6093
0.0773903,0,0.0956296,67.5882,3.60443,12.8686
0.0791754,0,0.0956296,67.5652,3.65038,13.1187
0.0800679,0,0.0956296,67.5535,3.67202,13.2405
0.0818529,0,0.0956296,67.5298,3.72092,13.4776
0.0827455,0,0.0956296,67.5178,3.74587,13.593
0.0840843,0,0.0956296,67.4996,3.78728,13.7623
0.0849768,0,0.0956296,67.4873,3.81635,13.8726
0.0863156,0,0.0956296,67.4688,3.86549,14.0346
0.0872081,0,0.0956296,67.4562,3.90065,14.1401
0.0889932,0,0.0956296,67.431,3.98173,14.3457
0.0898857,0,0.0956296,67.4182,4.02449,14.4457
0.0916708,0,0.0956296,67.3924,4.11978,14.6405
0.0934558,0,0.0956296,67.3663,4.22246,14.8285
0.0952409,0,0.0956296,67.3398,4.33094,15.0099
0.0970259,0,0.0956296,67.313,4.44487,15.185
0.098811,0,0.0956296,67.2859,4.56354,15.3539
0.100596,0,0.0956296,67.2585,4.68679,15.5168
0.102381,0,0.0956296,67.2308,4.81094,15.6741
0.104166,0,0.0956296,67.2028,4.93697,15.8258
0.105951,0,0.0956296,67.1746,5.06529,15.9723
0.107736,0,0.0956296,67.146,5.1936,16.1135
0.109521,0,0.0956296,67.1173,5.32038,16.2499
0.111306,0,0.0956296,67.0883,5.44672,16.3814
0.113091,0,0.0956296,67.059,5.57445,16.5083
0.114877,0,0.0956296,67.0296,5.69859,16.6308
0.116662,0,0.0956296,66.9999,5.82065,16.749
0.118447,0,0.0956296,66.97,5.94017,16.863
0.120232,0,0.0956296,66.9399,6.06671,16.9731
0.122017,0,0.0956296,66.9096,6.18448,17.0793
0.123802,0,0.0956296,66.8791,6.29902,17.1817
0.125141,0,0.0956296,66.8561,6.38456,17.2562
0.126926,0,0.0956296,66.8253,6.49972,17.3524
0.128711,0,0.0956296,66.7943,6.61421,17.4453
0.130496,0,0.0956296,66.7632,6.72738,17.5349
0.132281,0,0.0956296,66.7319,6.84019,17.6214
0.134066,0,0.0956296,66.7004,6.95266,17.7048
0.135851,0,0.0956296,66.6688,7.06577,17.7853
0.137636,0,0.0956296,66.6371,7.17704,17.863
0.138975,0,0.0956296,66.6131,7.25987,17.9195
0.14076,0,0.0956296,66.5812,7.37151,17.9924
0.141652,0,0.0956296,66.5651,7.42653,18.028
0.143437,0,0.0956296,66.5329,7.53738,18.0971
0.14433,0,0.0956296,66.5168,7.59255,18.1308
0.145669,0,0.0956296,66.4925,7.67743,18.1802
0.146561,0,0.0956296,66.4763,7.73498,18.2124
0.1479,0,0.0956296,66.4519,7.82274,18.2596
0.149239,0,0.0956296,66.4274,7.91233,18.3056
0.150578,0,0.0956296,66.4029,8.00414,18.3504
